zone_name,gap_type,location,area,last_event_year,description
Zona Maluku,temporal,Seluruh zona Zona Maluku,N/A,2024,"8 tahun di bawah threshold (72.8 event/yr): [1963, 1964, 1965, 1966, 1967]..."
Zona Sumatera,spatial,LAT7_LON95,1x1 deg (~12000 km2),1997,"Aktif s/d 1997, nol event 2016-2026 (hist: 5 events)"
Zona Sumatera,spatial,LAT4_LON100,1x1 deg (~12000 km2),2013,"Aktif s/d 2013, nol event 2016-2026 (hist: 4 events)"
Zona Sumatera,spatial,LAT5_LON98,1x1 deg (~12000 km2),2014,"Aktif s/d 2014, nol event 2016-2026 (hist: 3 events)"
Zona Sumatera,spatial,LAT0_LON101,1x1 deg (~12000 km2),2012,"Aktif s/d 2012, nol event 2016-2026 (hist: 3 events)"
Zona Sumatera,spatial,LAT-4_LON113,1x1 deg (~12000 km2),2013,"Aktif s/d 2013, nol event 2016-2026 (hist: 3 events)"
Zona Sumatera,spatial,LAT-1_LON102,1x1 deg (~12000 km2),2015,"Aktif s/d 2015, nol event 2016-2026 (hist: 3 events)"
Zona Sumatera,spatial,LAT-6_LON99,1x1 deg (~12000 km2),2014,"Aktif s/d 2014, nol event 2016-2026 (hist: 3 events)"
Zona Sumatera,spatial,LAT-8_LON99,1x1 deg (~12000 km2),2008,"Aktif s/d 2008, nol event 2016-2026 (hist: 2 events)"
Zona Sumatera,spatial,LAT-3_LON109,1x1 deg (~12000 km2),2009,"Aktif s/d 2009, nol event 2016-2026 (hist: 2 events)"
Zona Sumatera,spatial,LAT-7_LON97,1x1 deg (~12000 km2),2012,"Aktif s/d 2012, nol event 2016-2026 (hist: 2 events)"
Zona Jawa-Bali-NTB,spatial,LAT-6_LON135,1x1 deg (~12000 km2),2010,"Aktif s/d 2010, nol event 2016-2026 (hist: 6 events)"
Zona Jawa-Bali-NTB,spatial,LAT-10_LON138,1x1 deg (~12000 km2),2000,"Aktif s/d 2000, nol event 2016-2026 (hist: 2 events)"
Zona Jawa-Bali-NTB,spatial,LAT-7_LON139,1x1 deg (~12000 km2),1978,"Aktif s/d 1978, nol event 2016-2026 (hist: 1 events)"
Zona Jawa-Bali-NTB,spatial,LAT-4_LON117,1x1 deg (~12000 km2),1986,"Aktif s/d 1986, nol event 2016-2026 (hist: 1 events)"
Zona Jawa-Bali-NTB,spatial,LAT-5_LON116,1x1 deg (~12000 km2),2008,"Aktif s/d 2008, nol event 2016-2026 (hist: 1 events)"
Zona Jawa-Bali-NTB,spatial,LAT-11_LON101,1x1 deg (~12000 km2),2014,"Aktif s/d 2014, nol event 2016-2026 (hist: 1 events)"
Zona Jawa-Bali-NTB,spatial,LAT-7_LON136,1x1 deg (~12000 km2),1988,"Aktif s/d 1988, nol event 2016-2026 (hist: 1 events)"
Zona Jawa-Bali-NTB,spatial,LAT-10_LON139,1x1 deg (~12000 km2),2009,"Aktif s/d 2009, nol event 2016-2026 (hist: 1 events)"
Zona Sulawesi-NTT,spatial,LAT-7_LON118,1x1 deg (~12000 km2),2012,"Aktif s/d 2012, nol event 2016-2026 (hist: 11 events)"
Zona Sulawesi-NTT,spatial,LAT-5_LON112,1x1 deg (~12000 km2),2012,"Aktif s/d 2012, nol event 2016-2026 (hist: 7 events)"
